Incident_ID,Victim_District,Fraud_Type,Amount_INR,Time_of_Complaint,Time_to_Withdraw,Target_ATM_Zone,Specific_ATM_Location
INC-10001,Bikaner,Sextortion,294211,03:05,12-24 Hours,Jhotwara,"SBI ATM, Panchawala, Jhotwara"
INC-10002,Alwar,UPI Scam,28548,01:50,1-2 Hours,Mansarovar,"Union Bank ATM, Kaveri Path, Mansarovar"
INC-10003,Sikar,OLX Scam,8253,09:39,1-2 Hours,Mansarovar,"SBI ATM, VT Road Chauraha, Mansarovar"
INC-10004,Bikaner,Job Fraud,50141,02:52,12-24 Hours,Mansarovar,"PNB ATM, Kaveri Path, Mansarovar"
INC-10005,Pali,UPI Scam,9272,17:59,1-2 Hours,Bani Park,"SBI ATM, Collectorate Circle, Bani Park"
INC-10006,Udaipur,KYC Fraud,24385,13:41,1-2 Hours,Malviya Nagar,"ICICI ATM, Sector 3 Market, Malviya Nagar"
INC-10007,Pali,Investment Scam,106764,03:40,12-24 Hours,Vidyadhar Nagar,"Bank of Baroda ATM, Sector 2, Vidyadhar Nagar"
INC-10008,Jodhpur,OLX Scam,14965,16:33,1-2 Hours,Vaishali Nagar,"Bank of Baroda ATM, Hanuman Nagar, Vaishali Nagar"
INC-10009,Ajmer,KYC Fraud,29353,15:16,1-2 Hours,Malviya Nagar,"Axis Bank ATM, JLN Marg, Malviya Nagar"
INC-10010,Jaipur,OLX Scam,27461,21:15,1-2 Hours,C-Scheme,"SBI ATM, MI Road Junction, C-Scheme"
INC-10011,Jaipur,Investment Scam,192721,03:53,12-24 Hours,Sitapura Industrial,"PNB ATM, EPI Zone, Sitapura Industrial"
INC-10012,Bikaner,UPI Scam,7352,20:32,1-2 Hours,Vaishali Nagar,"PNB ATM, Gandhi Path, Vaishali Nagar"
INC-10013,Pali,Credit Card Cloning,256106,03:19,12-24 Hours,Sitapura Industrial,"Axis Bank ATM, EPI Zone, Sitapura Industrial"
INC-10014,Sikar,Loan App Fraud,76767,04:15,12-24 Hours,Vaishali Nagar,"Axis Bank ATM, Gandhi Path, Vaishali Nagar"
INC-10015,Alwar,OLX Scam,21004,23:10,1-2 Hours,Jagatpura,"Axis Bank ATM, Ramnagariya, Jagatpura"
INC-10016,Bhilwara,OLX Scam,21523,11:16,1-2 Hours,Vaishali Nagar,"SBI ATM, Nursery Circle, Vaishali Nagar"
INC-10017,Pali,Job Fraud,93862,16:22,12-24 Hours,Bani Park,"Bank of Baroda ATM, Kabir Marg, Bani Park"
INC-10018,Pali,Investment Scam,257051,23:17,12-24 Hours,Sitapura Industrial,"Kotak Mahindra ATM, Tonk Road Junction, Sitapura Industrial"
INC-10019,Kota,Job Fraud,37695,14:04,12-24 Hours,Vidyadhar Nagar,"Axis Bank ATM, National Highway 52 Bypass, Vidyadhar Nagar"
INC-10020,Alwar,Sextortion,224355,23:54,12-24 Hours,Pratap Nagar,"Union Bank ATM, Haldi Ghati Marg, Pratap Nagar"
INC-10021,Ajmer,OLX Scam,28346,09:17,1-2 Hours,Mansarovar,"HDFC ATM, Kissan Dharam Kanta, Mansarovar"
INC-10022,Alwar,Sextortion,59338,23:47,12-24 Hours,Vidyadhar Nagar,"Union Bank ATM, Sector 2, Vidyadhar Nagar"
INC-10023,Bikaner,KYC Fraud,4468,14:20,1-2 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Nursery Circle, Vaishali Nagar"
