Incident_ID,Fraud_Type_Code,Victim_District_Code,Time_of_Day_Code,Amount_Bracket_Code,Target_ATM_Zone_Code
INC-10001,3,7,3,3,4
INC-10002,0,4,3,1,0
INC-10003,1,5,0,0,0
INC-10004,4,7,3,2,0
INC-10005,0,9,2,0,7
INC-10006,2,2,1,1,3
INC-10007,6,9,3,3,9
INC-10008,1,1,1,0,2
INC-10009,2,3,1,1,3
INC-10010,1,0,3,1,5
INC-10011,6,0,3,3,1
INC-10012,0,7,2,0,2
INC-10013,5,9,3,3,1
INC-10014,7,5,3,2,2
INC-10015,1,4,3,1,8
INC-10016,1,8,0,1,2
INC-10017,4,9,1,2,7
INC-10018,6,9,3,3,1
INC-10019,4,6,1,1,9
INC-10020,3,4,3,3,6
INC-10021,1,3,0,1,0
INC-10022,3,4,3,2,9
INC-10023,2,7,1,0,2
INC-10024,1,9,1,1,0
INC-10025,6,1,3,2,9
INC-10026,6,4,3,2,4
INC-10027,2,10,0,1,7
INC-10028,1,3,2,0,0
INC-10029,6,7,3,3,9
INC-10030,5,9,3,3,1
INC-10031,1,6,0,0,5
INC-10032,7,2,0,2,8
INC-10033,0,9,2,0,3
INC-10034,2,5,1,1,8
INC-10035,0,8,1,1,2
INC-10036,6,2,3,3,4
INC-10037,1,5,0,1,7
INC-10038,6,9,3,3,9
INC-10039,1,9,2,1,0
INC-10040,3,3,3,3,1
INC-10041,6,7,3,3,9
INC-10042,4,4,0,2,0
INC-10043,2,2,2,0,0
INC-10044,4,2,1,2,8
INC-10045,2,4,3,0,3
INC-10046,1,6,0,0,0
INC-10047,5,5,3,3,1
INC-10048,2,4,1,1,3
INC-10049,0,10,0,0,3
INC-10050,0,10,1,1,2
INC-10051,0,7,2,1,2
INC-10052,6,10,1,3,6
INC-10053,4,3,0,2,4
INC-10054,1,3,1,0,7
INC-10055,1,3,0,1,7
INC-10056,6,3,3,3,1
INC-10057,7,3,3,1,1
INC-10058,1,8,1,1,3
INC-10059,4,10,3,1,8
INC-10060,6,3,3,3,6
INC-10061,2,9,0,1,2
INC-10062,1,7,2,1,3
INC-10063,3,5,3,3,1
INC-10064,6,0,3,2,4
INC-10065,0,7,2,0,7
INC-10066,7,2,2,2,2
INC-10067,6,8,3,2,1
INC-10068,7,8,2,2,2
INC-10069,1,0,1,0,0
INC-10070,1,3,2,1,3
INC-10071,2,10,0,1,0
INC-10072,2,10,1,0,7
INC-10073,7,7,1,2,0
INC-10074,4,9,1,1,7
INC-10075,4,6,0,2,8
INC-10076,6,5,0,3,3
INC-10077,6,2,3,2,1
INC-10078,5,3,3,3,9
INC-10079,6,10,3,3,9
INC-10080,6,5,3,3,4
INC-10081,5,3,3,2,5
INC-10082,7,2,3,1,0
INC-10083,4,10,1,2,3
INC-10084,2,5,1,0,1
INC-10085,0,9,2,0,2
INC-10086,4,10,3,1,9
INC-10087,0,9,1,1,0
INC-10088,5,1,3,3,9
INC-10089,6,1,3,3,1
INC-10090,1,5,0,0,2
INC-10091,5,7,3,3,4
INC-10092,4,0,0,1,0
INC-10093,0,0,1,0,0
INC-10094,5,0,3,3,1
INC-10095,1,9,0,1,2
INC-10096,6,5,3,3,7
INC-10097,1,6,0,0,0
INC-10098,3,5,3,3,1
INC-10099,2,10,0,1,2
INC-10100,0,1,0,1,7
INC-10101,5,2,2,3,2
INC-10102,1,3,0,1,7
INC-10103,1,8,0,1,2
INC-10104,2,7,0,1,9
INC-10105,7,1,0,1,6
INC-10106,7,3,0,2,6
INC-10107,2,3,0,1,0
INC-10108,0,10,1,0,2
INC-10109,5,6,3,3,1
INC-10110,1,9,3,1,9
INC-10111,6,5,2,3,7
INC-10112,5,10,3,3,9
INC-10113,0,4,1,0,0
INC-10114,0,2,0,0,3
INC-10115,5,3,3,3,9
INC-10116,3,9,3,3,4
INC-10117,3,5,3,3,9
INC-10118,7,5,3,2,5
INC-10119,6,3,3,3,9
INC-10120,5,10,3,2,9
INC-10121,6,3,3,3,6
INC-10122,2,7,1,1,7
INC-10123,0,2,1,1,0
INC-10124,1,9,1,1,7
INC-10125,5,6,3,3,4
INC-10126,5,2,3,3,1
INC-10127,0,10,0,0,2
INC-10128,1,0,2,0,3
INC-10129,5,9,3,3,9
INC-10130,0,5,0,0,0
INC-10131,0,6,2,1,3
INC-10132,3,8,3,2,1
INC-10133,3,8,3,3,1
INC-10134,5,3,0,3,8
INC-10135,4,5,0,2,9
INC-10136,5,5,3,3,1
INC-10137,4,9,0,2,5
INC-10138,7,2,2,2,0
INC-10139,2,0,1,1,3
INC-10140,2,10,0,0,2
INC-10141,4,2,3,1,0
INC-10142,3,8,3,3,9
INC-10143,6,2,3,3,6
INC-10144,1,9,2,1,3
INC-10145,0,2,1,1,0
INC-10146,7,0,3,1,5
INC-10147,3,3,3,3,4
INC-10148,2,9,1,1,9
INC-10149,2,6,2,1,7
INC-10150,7,1,0,2,9
INC-10151,1,8,0,0,4
INC-10152,3,7,0,3,3
INC-10153,3,4,1,3,1
INC-10154,0,2,2,0,3
INC-10155,4,1,0,2,0
INC-10156,2,7,2,1,7
INC-10157,0,5,1,0,7
INC-10158,7,0,0,1,6
INC-10159,5,6,3,3,9
INC-10160,1,7,1,1,3
INC-10161,0,0,2,0,3
INC-10162,0,1,3,0,1
INC-10163,5,3,3,3,9
INC-10164,0,0,0,0,3
INC-10165,0,3,1,1,7
INC-10166,7,4,1,1,4
INC-10167,5,0,3,3,4
INC-10168,3,10,1,2,0
INC-10169,2,6,1,1,7
INC-10170,1,5,0,0,3
INC-10171,4,1,2,2,1
INC-10172,6,8,3,3,4
INC-10173,6,3,0,3,6
INC-10174,1,8,0,0,3
INC-10175,3,9,3,3,6
INC-10176,6,3,3,3,4
INC-10177,2,7,2,1,2
INC-10178,0,5,1,1,0
INC-10179,5,8,3,3,9
INC-10180,7,6,1,1,2
INC-10181,6,5,1,3,7
INC-10182,6,3,3,3,4
INC-10183,7,8,0,2,0
INC-10184,1,2,0,1,0
INC-10185,1,4,0,1,2
INC-10186,4,2,0,1,5
INC-10187,3,0,3,3,1
INC-10188,7,0,3,2,4
INC-10189,1,5,3,0,7
INC-10190,2,5,0,1,3
INC-10191,0,7,2,1,0
INC-10192,7,2,3,2,4
INC-10193,1,0,2,0,3
INC-10194,0,10,2,1,0
INC-10195,0,1,1,0,7
INC-10196,1,9,2,1,3
INC-10197,5,5,3,2,4
INC-10198,7,7,1,1,9
