complaint_id,date,location_zone,complaint_type,payment_method,transaction_amount,withdrawal_zone,hour,day_of_week,month
1,2025-04-13,Zone_B,Card_Fraud,Credit_Card,22664,Zone_B,10,6,4
2,2025-12-15,Zone_G,Phishing,UPI,36095,Zone_A,2,0,12
3,2025-09-28,Zone_E,Online_Shopping_Fraud,Net_Banking,30757,Zone_B,0,6,9
4,2025-04-17,Zone_E,Investment_Fraud,Wallet,14711,Zone_H,5,3,4
5,2025-03-13,Zone_F,Phishing,Wallet,96489,Zone_A,17,3,3
6,2025-07-08,Zone_E,Investment_Fraud,Wallet,5732,Zone_B,23,1,7
7,2025-01-21,Zone_A,Investment_Fraud,Debit_Card,68253,Zone_H,9,1,1
8,2025-04-13,Zone_F,UPI_Fraud,UPI,53191,Zone_D,4,6,4
9,2025-05-02,Zone_F,Phishing,Net_Banking,90265,Zone_G,22,4,5
10,2025-08-03,Zone_D,Phishing,Debit_Card,80268,Zone_D,9,6,8
11,2025-11-27,Zone_E,Investment_Fraud,Credit_Card,26113,Zone_B,11,3,11
12,2025-03-29,Zone_G,Online_Shopping_Fraud,Net_Banking,14526,Zone_A,1,5,3
13,2025-04-10,Zone_F,UPI_Fraud,Net_Banking,54035,Zone_C,12,3,4
14,2025-12-26,Zone_H,Investment_Fraud,Net_Banking,94590,Zone_D,7,4,12
15,2025-06-01,Zone_G,Card_Fraud,Wallet,31408,Zone_D,1,6,6
16,2025-05-11,Zone_A,Card_Fraud,Net_Banking,52613,Zone_H,19,6,5
17,2025-05-30,Zone_D,UPI_Fraud,UPI,20110,Zone_F,0,4,5
18,2025-11-05,Zone_B,Online_Shopping_Fraud,Net_Banking,47146,Zone_C,4,2,11
19,2025-09-15,Zone_G,Investment_Fraud,Wallet,63685,Zone_B,8,0,9
20,2025-12-10,Zone_F,Phishing,Net_Banking,73067,Zone_G,16,2,12
21,2025-10-21,Zone_A,UPI_Fraud,Credit_Card,48074,Zone_A,8,1,10
22,2025-07-11,Zone_C,Online_Shopping_Fraud,Credit_Card,91551,Zone_F,10,4,7
23,2025-10-04,Zone_A,Phishing,Wallet,36682,Zone_B,14,5,10
24,2025-06-10,Zone_A,Card_Fraud,UPI,1070,Zone_E,23,1,6
25,2025-11-10,Zone_D,Card_Fraud,UPI,98290,Zone_G,5,0,11
26,2025-01-22,Zone_B,Phishing,Debit_Card,19788,Zone_D,22,2,1
27,2025-09-10,Zone_C,UPI_Fraud,Wallet,79324,Zone_E,2,2,9
28,2025-08-24,Zone_E,Card_Fraud,Net_Banking,30377,Zone_D,16,6,8
29,2025-12-11,Zone_E,Investment_Fraud,Wallet,84925,Zone_D,4,3,12
30,2025-02-18,Zone_G,Phishing,Debit_Card,1417,Zone_E,11,1,2
31,2025-02-28,Zone_A,Phishing,Wallet,76102,Zone_G,17,4,2
32,2025-06-19,Zone_H,Card_Fraud,Wallet,95540,Zone_H,13,3,6
33,2025-07-07,Zone_D,UPI_Fraud,Debit_Card,65075,Zone_E,20,0,7
34,2025-09-28,Zone_H,Investment_Fraud,UPI,73018,Zone_B,23,6,9
35,2025-07-09,Zone_D,UPI_Fraud,Net_Banking,39604,Zone_F,10,2,7
36,2025-06-24,Zone_E,Online_Shopping_Fraud,Debit_Card,18562,Zone_F,8,1,6
37,2025-02-20,Zone_G,Online_Shopping_Fraud,Credit_Card,17499,Zone_E,1,3,2
38,2025-12-30,Zone_G,Card_Fraud,UPI,62345,Zone_B,11,1,12
39,2025-02-24,Zone_G,Card_Fraud,Credit_Card,10441,Zone_H,2,0,2
40,2025-09-01,Zone_C,Card_Fraud,UPI,61669,Zone_F,2,0,9
41,2025-11-16,Zone_B,Online_Shopping_Fraud,Net_Banking,23970,Zone_B,0,6,11
42,2025-05-11,Zone_C,UPI_Fraud,Net_Banking,60321,Zone_H,7,6,5
43,2025-11-03,Zone_F,UPI_Fraud,Wallet,87169,Zone_B,21,0,11
44,2025-05-15,Zone_F,Card_Fraud,Credit_Card,44935,Zone_D,7,3,5
45,2025-01-21,Zone_H,Investment_Fraud,UPI,5029,Zone_F,10,1,1
46,2025-11-25,Zone_B,UPI_Fraud,Net_Banking,83555,Zone_H,8,1,11
47,2025-06-16,Zone_E,Online_Shopping_Fraud,Debit_Card,12692,Zone_F,4,0,6
48,2025-10-01,Zone_B,Phishing,Net_Banking,74602,Zone_D,13,2,10
49,2025-03-30,Zone_D,Phishing,Debit_Card,73262,Zone_E,2,6,3
50,2025-11-12,Zone_F,Phishing,UPI,87295,Zone_D,20,2,11
51,2025-01-14,Zone_A,Investment_Fraud,Net_Banking,34587,Zone_F,4,1,1
52,2025-08-30,Zone_A,Card_Fraud,Net_Banking,67177,Zone_F,4,5,8
53,2025-09-22,Zone_E,Online_Shopping_Fraud,UPI,5127,Zone_G,18,0,9
54,2025-12-12,Zone_D,Investment_Fraud,Net_Banking,57041,Zone_H,13,4,12
55,2025-02-22,Zone_H,Online_Shopping_Fraud,Debit_Card,68726,Zone_E,3,5,2
56,2025-12-06,Zone_C,Online_Shopping_Fraud,Net_Banking,3755,Zone_D,12,5,12
57,2025-04-02,Zone_D,Card_Fraud,Credit_Card,57933,Zone_H,9,2,4
58,2025-09-21,Zone_A,Phishing,Wallet,5713,Zone_A,17,6,9
59,2025-02-04,Zone_A,Card_Fraud,Debit_Card,19904,Zone_H,7,1,2
60,2025-07-25,Zone_H,Investment_Fraud,Credit_Card,25880,Zone_A,7,4,7
61,2025-03-22,Zone_F,Investment_Fraud,UPI,91556,Zone_E,6,5,3
62,2025-02-19,Zone_D,Investment_Fraud,Debit_Card,19673,Zone_D,7,2,2
63,2025-12-26,Zone_D,Card_Fraud,Wallet,53527,Zone_D,13,4,12
64,2025-01-02,Zone_A,Online_Shopping_Fraud,Wallet,24489,Zone_B,18,3,1
65,2025-02-23,Zone_C,Online_Shopping_Fraud,UPI,25019,Zone_F,5,6,2
66,2025-04-16,Zone_E,UPI_Fraud,UPI,22939,Zone_C,0,2,4
67,2025-09-17,Zone_G,Investment_Fraud,Debit_Card,77449,Zone_G,22,2,9
68,2025-11-06,Zone_E,Online_Shopping_Fraud,Net_Banking,15495,Zone_H,14,3,11
69,2025-07-10,Zone_D,UPI_Fraud,UPI,24059,Zone_E,0,3,7
70,2025-08-06,Zone_E,Online_Shopping_Fraud,Net_Banking,89549,Zone_C,16,2,8
71,2025-02-13,Zone_A,Investment_Fraud,Credit_Card,5521,Zone_H,0,3,2
72,2025-06-11,Zone_A,Phishing,Wallet,98500,Zone_C,14,2,6
73,2025-07-21,Zone_H,Investment_Fraud,Net_Banking,21619,Zone_E,22,0,7
74,2025-09-27,Zone_D,Card_Fraud,Wallet,52039,Zone_D,1,5,9
75,2025-12-17,Zone_H,Online_Shopping_Fraud,Net_Banking,95335,Zone_E,13,2,12
76,2025-10-31,Zone_D,Online_Shopping_Fraud,Credit_Card,39850,Zone_H,20,4,10
77,2025-09-28,Zone_G,Card_Fraud,UPI,46723,Zone_C,7,6,9
78,2025-08-03,Zone_G,Card_Fraud,Credit_Card,26017,Zone_F,7,6,8
79,2025-09-09,Zone_F,Phishing,UPI,79153,Zone_G,18,1,9
80,2025-07-09,Zone_D,Online_Shopping_Fraud,UPI,22750,Zone_G,6,2,7
81,2025-10-23,Zone_C,Online_Shopping_Fraud,Wallet,84986,Zone_F,18,3,10
82,2025-08-01,Zone_E,Phishing,Credit_Card,83395,Zone_F,5,4,8
83,2025-07-27,Zone_D,UPI_Fraud,Net_Banking,89632,Zone_D,5,6,7
84,2025-08-25,Zone_B,Phishing,Credit_Card,91566,Zone_H,2,0,8
85,2025-12-04,Zone_F,Investment_Fraud,Wallet,67298,Zone_A,6,3,12
86,2025-02-22,Zone_B,Online_Shopping_Fraud,UPI,54699,Zone_E,18,5,2
87,2025-10-07,Zone_A,Card_Fraud,Wallet,60046,Zone_G,7,1,10
88,2025-08-05,Zone_G,Investment_Fraud,Debit_Card,88651,Zone_F,9,1,8
89,2025-09-09,Zone_E,Online_Shopping_Fraud,Debit_Card,3827,Zone_E,19,1,9
90,2025-07-07,Zone_D,Phishing,Net_Banking,30268,Zone_G,14,0,7
91,2025-02-10,Zone_B,Investment_Fraud,Wallet,64918,Zone_F,14,0,2
92,2025-06-06,Zone_E,Online_Shopping_Fraud,Net_Banking,94886,Zone_H,0,4,6
93,2025-01-15,Zone_A,UPI_Fraud,Net_Banking,43288,Zone_G,19,2,1
94,2025-10-28,Zone_G,UPI_Fraud,Debit_Card,82884,Zone_D,6,1,10
95,2025-03-06,Zone_C,Card_Fraud,Net_Banking,47330,Zone_A,3,3,3
96,2025-12-11,Zone_F,Online_Shopping_Fraud,Debit_Card,52946,Zone_A,5,3,12
97,2025-11-23,Zone_E,UPI_Fraud,UPI,15660,Zone_F,0,6,11
98,2025-01-09,Zone_E,Phishing,Wallet,57083,Zone_G,4,3,1
99,2025-12-10,Zone_C,Online_Shopping_Fraud,Net_Banking,34498,Zone_D,22,2,12
100,2025-05-09,Zone_E,Phishing,Debit_Card,27730,Zone_B,0,4,5
101,2025-05-16,Zone_A,Phishing,Credit_Card,9576,Zone_E,3,4,5
102,2025-03-04,Zone_A,UPI_Fraud,Net_Banking,69841,Zone_E,21,1,3
103,2025-05-19,Zone_C,Online_Shopping_Fraud,UPI,31585,Zone_C,1,0,5
104,2025-03-22,Zone_F,Investment_Fraud,UPI,56071,Zone_D,9,5,3
105,2025-06-12,Zone_D,UPI_Fraud,Credit_Card,15215,Zone_G,4,3,6
106,2025-10-16,Zone_B,UPI_Fraud,Debit_Card,6250,Zone_H,9,3,10
107,2025-09-18,Zone_D,Online_Shopping_Fraud,Net_Banking,79268,Zone_H,0,3,9
108,2025-08-19,Zone_E,Online_Shopping_Fraud,Debit_Card,36403,Zone_C,21,1,8
109,2025-02-10,Zone_B,Phishing,UPI,72989,Zone_F,5,0,2
110,2025-01-28,Zone_H,Online_Shopping_Fraud,Debit_Card,32593,Zone_G,12,1,1
111,2025-05-15,Zone_C,Phishing,UPI,91536,Zone_C,14,3,5
112,2025-07-20,Zone_C,UPI_Fraud,Debit_Card,88454,Zone_A,3,6,7
113,2025-11-24,Zone_F,Card_Fraud,Credit_Card,34814,Zone_E,12,0,11
114,2025-09-25,Zone_B,Investment_Fraud,Wallet,48725,Zone_G,23,3,9
115,2025-02-02,Zone_A,UPI_Fraud,Credit_Card,88485,Zone_C,19,6,2
116,2025-02-17,Zone_B,Online_Shopping_Fraud,Credit_Card,83514,Zone_A,23,0,2
117,2025-03-03,Zone_E,Investment_Fraud,Wallet,35679,Zone_D,14,0,3
118,2025-08-04,Zone_A,Card_Fraud,Wallet,25838,Zone_C,7,0,8
